date,sleepTime
06-01,10.25
06-02,4.11
06-03,8.39
06-04,3.08
06-05,11.23
06-06,9.18
06-07,0.00
06-08,4.14
06-09,5.45
06-10,7.31
06-11,7.55
06-12,4.54
06-13,6.41
06-14,7.17
06-15,4.02
06-16,5.59
06-17,5.30
06-18,3.58
06-19,11.44
06-20,4.36
06-21,6.30
06-22,5.59
06-23,6.17
06-24,7.13
06-25,5.08
06-26,4.36
06-27,5.09
06-28,6.05
06-29,6.33
06-30,6.23
